id,video_id,title,channel,published_at,views,likes,url,tone,occasions,moods,description_keywords
4042,TYTZPqxyLIE,[makeup] 데일리로 하기 좋은 부담없는 쿨톤메이크업,Happyrim혜림쌤,2020-04-07,448196,6861,https://www.youtube.com/watch?v=TYTZPqxyLIE,여쿨,출근/등교,"내추럴(자연스러운), 청순","투명, 다크, 데일리"
4043,unphDyLoruo,가을맞이 신상 소프트 음영 프로 아이 팔레트로 메이크업 feat 클리오,Happyrim혜림쌤,2021-08-23,174569,2331,https://www.youtube.com/watch?v=unphDyLoruo,가을웜,미분류,글램(글로우),"다크, 코랄, 글로우"
4044,uOtx2J_d8RA,"[grwm] 웜톤,쿨톤분들 다 잘 어울리는 핑크메이크업 (?)",Happyrim혜림쌤,2019-08-07,174730,1904,https://www.youtube.com/watch?v=uOtx2J_d8RA,미분류,데일리,러블리,"코랄, 핑크, 누드"
4045,urvHg5qHFQs,[grwm] 은채 감싸줄게요 무대메이크업 (얼굴이 은채아님 주의),Happyrim혜림쌤,2020-09-09,103683,1625,https://www.youtube.com/watch?v=urvHg5qHFQs,봄웜,파티,"러블리, 글램(글로우)","글로우, 핑크"
4046,v3qCXPe70ps,[haul] 프라이머 없이 더툴랩 베이스퍼펙터 브러시로 모공 커버하기 [간단주의],Happyrim혜림쌤,2020-01-24,57191,687,https://www.youtube.com/watch?v=v3qCXPe70ps,봄웜,출근/등교,내추럴(자연스러운),간단
4047,Vg8XwKI0cms,여름 끝물에 올려보는 여름여름한  초간단 맑은레드빛 메이크업,Happyrim혜림쌤,2023-08-27,101064,1199,https://www.youtube.com/watch?v=Vg8XwKI0cms,여쿨,출근/등교,"내추럴(자연스러운), 러블리, 청순","상큼, 간단, 내추럴, 맑은, 누드, 초간단"
4048,WS9g4Rl22K4,"[makup]기분꿀꿀한날 해본 진한 메이크업 , 맥 파우더키스리퀴드립 써보기",Happyrim혜림쌤,2020-04-30,178149,2705,https://www.youtube.com/watch?v=WS9g4Rl22K4,가을웜,데일리,러블리,"다크, 핑크"
4049,y-bueg0N6ok,새로 이사온 샵 에포트에서 데일리 메이크업&약간의 근황talk,Happyrim혜림쌤,2022-06-23,181959,2380,https://www.youtube.com/watch?v=y-bueg0N6ok,겨쿨,데일리,내추럴(자연스러운),"데일리, 누드"
4050,yQTy2RLhEeQ,[grwm] 10분안에 완성하는 찐데일리 스피드메이크업,Happyrim혜림쌤,2021-02-28,98060,1014,https://www.youtube.com/watch?v=yQTy2RLhEeQ,봄웜,출근/등교,"내추럴(자연스러운), 글램(글로우)","글램, 데일리"
4051,zSKA3_ehX2k,[EN/JP]인스타에서 요청 쇄도한 봄봄핑크핑크메이크업,Happyrim혜림쌤,2022-03-20,111686,1839,https://www.youtube.com/watch?v=zSKA3_ehX2k,겨쿨,데일리,러블리,핑크
